Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
4,0.394,4.4,0.469,0.555,0.5,2.0,2.5,0.6,1
1,0.525,1.2,0.586,0.556,1.0,6.3,7.3,1.1,0
2,0.426,6.8,0.502,0.508,0.5,2.9,3.4,0.3,1
1,0.486,1.9,0.621,0.537,1.2,3.0,4.2,0.4,0
4,0.542,1.6,0.625,0.597,1.4,2.8,4.2,0.5,1
0,0.524,2.2,0.62,0.574,0.5,2.5,3.1,0.4,0
2,0.508,1.2,0.573,0.563,0.8,1.6,2.4,0.2,1
1,0.425,2.6,0.565,0.486,1.1,3.0,4.1,0.3,0
2,0.404,4.1,0.5,0.557,0.5,1.5,2.0,0.2,1
2,0.4,2.1,0.48,0.508,0.2,0.7,0.9,0.1,1
1,0.491,2.9,0.512,0.563,0.6,3.2,3.8,0.2,0
2,0.457,4.9,0.491,0.546,0.8,3.1,3.9,0.7,1
3,0.502,5.3,0.565,0.59,0.8,3.5,4.3,0.6,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0.383,2.9,0.405,0.453,0.4,2.7,3.0,0.2,1
2,0.394,7.2,0.473,0.491,0.3,3.4,3.7,0.1,1
3,0.414,7.0,0.476,0.486,1.0,7.0,8.0,0.7,1
2,0.402,6.7,0.476,0.483,0.6,6.5,7.1,0.2,1
4,0.459,2.1,0.65,0.544,0.3,2.1,2.4,0.5,1
3,0.538,2.4,0.643,0.635,0.4,0.0,0.4,0.2,1
0,0.645,0.2,0.658,0.649,2.1,4.0,6.1,0.6,0
0,0.645,0.3,0.66,0.65,2.1,4.6,6.7,0.7,0
0,0.645,0.1,0.653,0.645,2.1,2.8,4.9,0.5,0
2,0.434,5.0,0.494,0.539,0.6,1.4,2.0,0.1,1
4,0.452,6.3,0.417,0.617,0.4,3.6,4.0,0.1,1
1,0.482,3.8,0.525,0.532,1.1,5.7,6.8,0.6,0
2,0.333,1.0,0.5,0.333,0.5,1.5,2.0,0.5,1
2,0.505,3.2,0.598,0.56,1.3,6.5,7.8,0.3,1
4,0.503,6.4,0.61,0.587,0.7,4.7,5.4,0.2,1
0,0.626,0.4,0.64,0.645,1.7,3.2,4.9,1.1,0
0,0.452,0.3,0.481,0.468,0.3,1.6,1.9,0.1,0
4,0.46,1.7,0.667,0.65,0.2,0.9,1.1,0.1,1
0,0.616,0.8,0.66,0.641,1.6,2.9,4.5,0.8,0
3,0.383,2.5,0.452,0.431,0.5,2.6,3.2,0.5,1
4,0.459,4.5,0.496,0.528,0.8,3.8,4.6,0.4,1
4,0.2,0.2,0.25,0.2,0.0,0.2,0.2,0.3,1
1,0.415,1.7,0.541,0.528,0.7,1.8,2.5,0.3,0
1,0.185,1.0,0.222,0.241,0.5,0.9,1.4,0.1,0
1,0.333,0.6,0.667,0.333,0.8,2.2,3.0,0.2,0
1,0.507,2.8,0.64,0.651,0.9,2.6,3.5,0.4,0
0,0.52,0.2,0.527,0.526,2.9,3.9,6.8,0.4,0
2,0.447,6.7,0.477,0.525,0.5,4.5,5.0,0.1,1
2,0.406,8.8,0.482,0.526,0.8,3.5,4.4,0.3,1
2,0.382,9.0,0.419,0.514,0.8,3.2,4.0,0.3,1
2,0.447,8.5,0.549,0.546,0.9,4.2,5.1,0.4,1
4,0.348,1.5,0.389,0.446,0.5,0.8,1.4,0.2,1
2,0.429,2.5,0.546,0.504,0.7,2.2,2.9,0.1,1
2,0.625,1.7,0.667,0.813,0.7,1.3,2.0,0.3,1
4,0.432,1.9,0.692,0.545,0.6,1.3,1.8,0.1,1
1,0.15,1.0,0.143,0.2,0.5,1.3,1.8,0.2,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.489,3.6,0.538,0.539,4.3,7.7,12.0,0.7,1
3,0.447,1.6,0.477,0.504,0.4,1.6,1.9,0.1,1
3,0.467,1.6,0.524,0.521,0.2,1.4,1.6,0.2,1
3,0.411,1.6,0.398,0.476,0.7,1.8,2.5,0.0,1
3,0.501,4.8,0.547,0.57,1.0,3.5,4.5,0.4,1
4,0.415,6.9,0.516,0.553,0.4,2.4,2.8,0.4,1
2,0.348,5.8,0.362,0.471,0.4,1.8,2.2,0.6,1
0,0.66,0.1,0.664,0.663,2.1,5.0,7.0,0.9,0
4,0.351,2.1,0.431,0.443,0.3,1.4,1.7,0.1,1
2,0.462,0.8,0.4,0.577,0.2,0.6,0.8,0.2,1
2,0.5,1.0,0.667,0.5,0.0,1.0,1.0,0.0,1
0,0.467,3.8,0.582,0.546,1.6,6.1,7.7,1.3,0
2,0.416,3.0,0.492,0.462,0.6,2.6,3.2,0.5,1
4,0.404,2.8,0.444,0.515,0.4,2.2,2.6,0.4,1
4,0.338,2.1,0.375,0.405,0.3,2.4,2.7,0.3,1
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.447,3.3,0.512,0.585,0.6,2.2,2.7,0.5,1
0,0.612,0.3,0.618,0.63,2.0,4.0,5.9,0.6,0
2,0.386,2.3,0.355,0.525,0.1,0.3,0.4,0.0,1
2,0.454,5.6,0.53,0.559,0.4,3.0,3.4,0.4,1
0,0.0,0.5,0.0,0.0,0.3,0.8,1.0,0.3,0
4,0.417,2.0,0.625,0.556,0.1,1.1,1.2,0.1,1
2,0.296,3.0,0.415,0.366,0.2,1.7,1.9,0.3,1
4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1
4,0.442,3.7,0.474,0.506,0.5,2.8,3.3,0.4,1
4,0.5,0.0,0.5,0.5,0.0,0.8,0.8,0.0,1
3,0.403,5.2,0.465,0.518,0.2,2.5,2.7,0.3,1
0,0.49,1.8,0.538,0.552,1.1,3.1,4.3,0.7,0
1,0.519,1.9,0.612,0.582,1.2,4.1,5.3,0.4,0
4,0.38,2.4,0.617,0.45,0.7,2.5,3.2,0.7,1
4,0.404,5.0,0.617,0.54,0.3,2.6,2.9,0.1,1
4,0.461,4.1,0.501,0.498,0.6,5.2,5.8,0.5,1
3,0.469,8.2,0.501,0.55,0.6,3.8,4.4,0.6,1
4,0.444,1.7,0.385,0.528,1.0,3.3,4.3,0.0,1
3,0.402,5.3,0.529,0.491,0.4,1.3,1.6,0.2,1
1,0.563,0.4,0.584,0.575,1.7,2.5,4.1,1.4,0
1,0.415,5.1,0.476,0.477,1.5,4.3,5.8,2.3,0
4,0.4,2.5,0.512,0.455,0.4,2.4,2.8,0.4,1
4,0.41,2.9,0.529,0.47,0.4,2.7,3.2,0.5,1
4,0.347,1.4,0.438,0.378,0.3,1.2,1.5,0.3,1
4,0.333,1.3,0.333,0.433,0.1,0.9,1.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.357,1.5,0.4,0.464,0.2,1.0,1.2,0.0,1
2,0.392,6.8,0.439,0.46,0.5,3.1,3.6,0.2,1
4,0.524,8.0,0.62,0.59,1.1,7.1,8.2,1.1,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0.5,0.3,1.0,0.5,0.0,0.7,0.7,0.0,1
2,0.378,3.9,0.493,0.46,0.4,1.2,1.6,0.1,1
2,0.35,2.5,0.405,0.477,0.1,0.9,1.0,0.1,1
1,0.436,0.2,0.486,0.436,1.2,1.4,2.7,0.0,0
1,0.522,0.1,0.571,0.522,1.0,1.3,2.3,0.0,0
1,0.333,0.7,0.5,0.333,1.7,2.3,4.0,0.0,0
1,0.3,0.0,0.3,0.3,1.8,1.5,3.3,0.0,0
4,0.44,2.5,0.467,0.52,1.5,2.3,3.8,0.3,1
1,0.46,5.9,0.523,0.596,0.6,3.5,4.1,0.2,0
2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.537,0.6,0.679,0.573,0.1,1.1,1.2,0.1,0
1,0.469,1.4,0.545,0.507,0.8,2.6,3.5,0.5,0
2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
4,0.466,5.3,0.51,0.545,1.1,5.0,6.1,0.2,1
2,0.353,2.7,0.36,0.415,0.6,1.5,2.2,0.3,1
2,0.333,0.7,0.35,0.363,0.4,1.0,1.4,0.1,1
2,0.357,4.0,0.364,0.428,0.8,1.9,2.7,0.5,1
1,0.466,2.2,0.575,0.532,0.7,2.5,3.2,0.3,0
3,0.3,2.2,0.143,0.425,0.5,1.5,2.0,0.5,1
3,0.4,2.3,0.333,0.55,0.3,1.7,2.0,0.3,1
3,0.2,2.0,0.0,0.3,0.7,1.3,2.0,0.7,1
0,0.583,3.9,0.652,0.62,2.8,11.0,13.8,0.9,0
3,0.111,0.2,0.125,0.111,0.2,0.4,0.6,0.0,1
3,0.0,0.3,0.0,0.0,0.3,0.7,1.0,0.0,1
3,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1
0,0.658,0.5,0.696,0.677,1.3,3.1,4.4,0.8,0
1,0.538,1.2,0.634,0.59,1.2,2.1,3.3,0.6,0
1,0.476,2.2,0.533,0.525,1.3,2.5,3.8,0.8,0
4,0.667,0.0,0.667,0.667,1.0,0.5,1.5,0.0,1
0,0.643,0.1,0.667,0.679,0.1,0.4,0.5,0.1,0
2,0.467,1.0,0.545,0.5,0.3,2.3,2.5,0.0,1
3,0.49,0.7,0.542,0.504,0.4,1.8,2.2,0.1,1
3,0.451,2.8,0.487,0.524,0.2,2.2,2.4,0.0,1
0,0.643,0.0,0.643,0.643,1.7,3.8,5.5,0.7,0
0,0.674,0.0,0.674,0.674,1.6,3.8,5.4,0.8,0
0,0.593,0.0,0.593,0.593,2.0,3.8,5.8,0.6,0
3,0.445,2.4,0.465,0.526,0.4,2.2,2.7,0.3,1
4,0.463,2.0,0.512,0.537,0.5,1.2,1.6,0.2,1
4,0.455,0.4,0.429,0.545,0.4,0.4,0.9,0.1,1
4,0.464,5.5,0.529,0.536,0.5,2.8,3.3,0.3,1
0,0.545,1.7,0.608,0.583,1.2,3.3,4.6,0.8,0
2,0.449,6.0,0.449,0.598,0.3,3.0,3.3,0.1,1
4,0.458,1.9,0.529,0.5,1.2,3.4,4.5,1.0,1
4,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1
4,0.457,2.2,0.52,0.5,1.3,4.0,5.3,1.2,1
4,0.0,1.0,0.0,0.0,0.0,1.3,1.3,0.0,1
4,0.319,2.7,0.35,0.404,0.0,1.2,1.2,0.1,1
4,0.455,4.2,0.629,0.564,0.7,2.0,2.7,0.3,1
1,0.398,4.3,0.586,0.516,1.2,4.7,5.9,1.0,0
3,0.4,3.4,0.75,0.48,0.0,1.6,1.6,0.0,1
1,0.511,0.4,0.547,0.534,0.9,1.4,2.3,0.2,0
4,0.365,1.8,0.516,0.453,0.5,1.0,1.5,0.1,1
4,0.375,2.2,0.417,0.5,0.6,1.1,1.7,0.1,1
4,0.356,1.5,0.579,0.411,0.4,0.9,1.3,0.1,1
2,0.515,1.8,0.61,0.615,1.2,3.4,4.6,0.3,1
2,0.387,4.0,0.515,0.469,0.3,2.3,2.6,0.1,1
0,0.481,0.3,0.591,0.481,0.9,1.1,1.9,0.2,0
0,0.2,0.5,0.25,0.2,1.0,0.5,1.5,0.5,0
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0,0.571,0.3,0.706,0.571,0.8,1.3,2.1,0.2,0
2,0.407,3.3,0.522,0.503,0.6,2.8,3.4,0.3,1
4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.513,2.1,0.598,0.567,0.8,2.6,3.3,0.3,1
1,0.452,5.7,0.526,0.52,1.1,7.4,8.5,0.9,0
4,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1
4,0.373,3.0,0.414,0.458,0.4,2.0,2.4,0.4,1
2,0.403,3.1,0.485,0.471,0.6,2.9,3.5,0.5,1
0,0.495,1.6,0.626,0.566,1.2,1.4,2.6,0.3,0
2,0.435,1.8,0.509,0.51,0.6,1.6,2.3,0.3,1
2,0.429,1.9,0.495,0.508,0.7,1.7,2.4,0.4,1
2,0.571,0.5,0.8,0.571,0.0,1.0,1.0,0.0,1
4,0.476,7.1,0.534,0.554,0.3,4.3,4.6,0.3,1
4,0.411,1.0,0.579,0.466,0.2,0.9,1.1,0.1,1
2,0.441,3.0,0.541,0.523,0.4,2.8,3.2,0.1,1
3,0.39,1.6,0.47,0.429,0.5,1.9,2.4,0.3,1
0,0.534,0.5,0.568,0.551,1.3,2.8,4.1,0.6,0
2,0.444,4.4,0.497,0.492,0.7,2.9,3.7,0.4,1
2,0.447,4.8,0.501,0.496,0.8,3.1,3.8,0.5,1
2,0.435,3.5,0.485,0.481,0.7,2.7,3.4,0.3,1
3,0.404,2.4,0.523,0.449,0.4,1.3,1.6,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.402,9.8,0.485,0.486,0.4,3.7,4.1,0.4,1
4,0.46,3.7,0.584,0.541,1.4,4.2,5.6,0.9,1
4,0.456,3.4,0.538,0.606,0.8,2.2,3.0,0.4,1
0,0.571,0.0,0.573,0.571,2.5,4.7,7.3,0.6,0
0,0.466,4.1,0.538,0.538,1.5,2.6,4.1,1.2,0
0,0.553,0.2,0.56,0.558,1.9,1.6,3.5,0.5,0
4,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,1
2,0.4,2.9,0.3,0.55,0.4,1.7,2.1,0.3,1
1,0.43,6.4,0.493,0.553,1.2,6.1,7.2,0.2,0
3,0.44,6.1,0.539,0.555,0.5,4.0,4.5,0.3,1
2,0.263,2.0,0.182,0.342,0.5,1.3,1.8,0.0,1
4,0.398,2.3,0.469,0.516,0.3,1.3,1.6,0.1,1
1,0.466,2.8,0.552,0.526,1.2,3.9,5.1,0.4,0
1,0.456,2.9,0.55,0.513,1.2,3.6,4.8,0.5,0
1,0.489,2.6,0.557,0.553,1.2,4.4,5.6,0.3,0
3,0.375,2.9,0.449,0.445,0.4,2.2,2.6,0.2,1
1,0.496,1.3,0.556,0.591,0.9,1.1,2.0,0.2,0
4,0.484,2.6,0.535,0.539,1.3,4.0,5.2,0.3,1
3,0.393,4.5,0.421,0.476,0.4,2.4,2.9,0.2,1
0,0.6,0.2,0.621,0.607,0.3,1.3,1.7,0.1,0
1,0.445,6.2,0.548,0.542,1.0,4.7,5.7,0.5,0
4,0.405,1.9,0.537,0.444,0.7,1.9,2.6,0.1,1
4,0.507,2.6,0.565,0.585,1.2,2.7,3.8,0.5,1
4,0.482,2.2,0.542,0.554,1.2,2.9,4.0,0.5,1
4,0.409,2.5,0.5,0.474,0.6,1.3,1.8,0.3,1
4,0.417,2.7,0.511,0.482,0.6,1.4,2.0,0.3,1
4,0.0,0.3,0.0,0.0,0.3,0.3,0.7,0.0,1
4,0.533,2.1,0.617,0.591,1.0,2.7,3.8,0.5,1
2,0.399,5.9,0.6,0.55,0.5,2.4,2.9,0.4,1
2,0.333,1.0,0.0,0.5,0.0,0.3,0.3,0.0,1
2,0.395,3.2,0.54,0.516,0.6,1.3,1.9,0.2,1
3,0.485,4.1,0.512,0.552,0.3,2.9,3.2,0.4,1
2,0.5,0.9,0.615,0.563,0.2,0.7,0.9,0.0,1
3,0.296,1.7,0.375,0.375,0.1,1.0,1.1,0.0,1
3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2,0.4,3.0,0.5,0.5,0.0,3.0,3.0,1.0,1
2,0.46,7.6,0.509,0.539,0.9,3.5,4.3,0.4,1
2,0.436,8.0,0.476,0.52,0.9,3.3,4.3,0.6,1
2,0.493,6.9,0.549,0.564,0.7,3.7,4.5,0.0,1
3,0.481,1.2,0.514,0.505,0.7,2.6,3.3,0.4,1
1,0.46,3.6,0.579,0.532,1.1,3.1,4.2,0.8,0
4,0.484,2.0,0.562,0.565,0.7,2.4,3.1,0.4,1
1,0.462,5.0,0.512,0.578,0.4,1.9,2.3,0.1,0
0,0.629,0.1,0.637,0.631,2.2,4.5,6.7,1.1,0
4,0.357,2.0,0.375,0.429,2.0,3.0,5.0,0.3,1
2,0.436,2.9,0.506,0.564,0.6,1.6,2.2,0.1,1
4,0.393,1.6,0.441,0.467,0.8,1.2,1.9,0.2,1
3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.44,1.4,0.53,0.508,0.4,1.2,1.5,0.2,1
2,0.401,6.5,0.533,0.541,0.2,1.4,1.6,0.2,1
2,0.404,5.1,0.44,0.504,0.9,3.6,4.5,0.5,1
2,0.333,3.8,1.0,0.479,0.2,1.0,1.2,0.0,1
0,0.452,3.1,0.555,0.516,0.6,5.0,5.6,0.5,0
4,0.443,6.6,0.494,0.522,0.6,4.8,5.4,0.3,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.408,7.0,0.429,0.551,0.2,1.7,1.9,0.2,1
1,0.391,1.1,0.463,0.426,1.2,2.2,3.5,0.4,0
1,0.376,1.1,0.448,0.412,1.2,2.5,3.7,0.5,0
1,0.433,0.9,0.5,0.467,1.3,1.4,2.8,0.2,0
3,0.429,2.4,0.481,0.483,0.5,2.0,2.6,0.3,1
3,0.418,4.3,0.48,0.477,0.4,1.8,2.2,0.3,1
2,0.448,9.8,0.533,0.533,0.8,3.4,4.2,0.2,1
1,0.508,1.3,0.541,0.522,2.1,6.2,8.3,1.7,0
2,0.473,5.8,0.568,0.578,0.5,2.9,3.4,0.4,1
0,0.561,0.0,0.561,0.561,2.1,2.4,4.6,0.7,0
0,0.591,0.0,0.591,0.591,1.5,4.5,6.0,1.5,0
0,0.5,0.0,0.5,0.5,3.5,1.5,5.0,0.5,0
0,0.5,0.0,0.5,0.5,2.2,2.0,4.2,0.4,0
0,0.8,0.0,0.8,0.8,2.0,1.0,3.0,0.3,0
2,0.437,2.1,0.548,0.546,0.3,1.2,1.5,0.2,1
2,0.49,1.4,0.541,0.539,0.2,1.2,1.4,0.3,1
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.493,4.5,0.534,0.53,1.4,4.4,5.7,0.4,1
1,0.667,1.0,1.0,0.833,1.0,1.0,2.0,0.0,0
1,0.667,2.0,1.0,0.833,2.0,2.0,4.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.7,0.0,0.0,0.0,0.7,0.7,0.0,1
1,0.434,5.1,0.478,0.507,0.5,3.9,4.4,0.3,0
1,0.474,2.3,0.547,0.531,1.0,1.6,2.6,0.1,0
3,0.484,4.2,0.545,0.564,0.4,2.7,3.0,0.2,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.312,3.2,0.304,0.422,0.1,1.3,1.4,0.1,1
3,0.299,3.1,0.333,0.396,0.1,1.3,1.4,0.1,1
3,0.4,4.0,0.0,0.6,0.0,1.5,1.5,0.5,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.394,3.0,0.418,0.522,0.8,1.6,2.4,0.1,1
3,0.462,4.3,0.504,0.5,1.2,7.1,8.3,0.3,1
0,0.456,3.8,0.506,0.597,0.5,2.5,3.0,0.6,0
